adres,postcode,type,m2,kamers,prijs,prijstype
Amalia van Solmslaan 13,"3062 HA,  Rotterdam",NA,136 m²,4 kamers,€ 635.000 k.k.,k.k.
Blaak 682,"3011 TA,  Rotterdam",Appartement,136 m²,4 kamers,€ 680.000 k.k.,k.k.
Specerijenhof 76,"3063 BX,  Rotterdam",Appartement,146 m²,3 kamers,€ 725.000 k.k.,k.k.
Churchillplein 132,"3011 EW,  Rotterdam",Appartement,205 m²,3 kamers,€ 725.000 k.k.,k.k.
Bergselaan 386 B,"3038 CT,  Rotterdam",Woning,83 m²,3 kamers,€ 160.000 k.k.,k.k.
Wilbertoord 64,"3079 JW,  Rotterdam",Appartement,67 m²,3 kamers,€ 149.500 k.k.,k.k.
Ellewoutsdijkstraat 214,"3086 LJ,  Rotterdam",Eengezinswoning,120 m²,4 kamers,€ 250.000 k.k.,k.k.
Haspelsstraat 30,"3025 PA,  Rotterdam",Appartement,109 m²,3 kamers,€ 359.000 k.k.,k.k.
Rijnhavenkade 152,"3072 JS,  Rotterdam",Appartement,153 m²,3 kamers,€ 1.038.000 v.o.n.,v.o.n.
Rijnhavenkade 168,"3072 JS,  Rotterdam",Appartement,178 m²,4 kamers,€ 920.000 v.o.n.,v.o.n.
Rijnhavenkade 34,"3072 JS,  Rotterdam",Appartement,87 m²,2 kamers,€ 493.000 v.o.n.,v.o.n.
Rijnhavenkade 30,"3072 JS,  Rotterdam",Appartement,98 m²,3 kamers,€ 554.000 v.o.n.,v.o.n.
Rijnhavenkade 92,"3072 JS,  Rotterdam",Appartement,161 m²,3 kamers,€ 949.000 v.o.n.,v.o.n.
Dordtselaan 226 -cii,"3073 GT,  Rotterdam",Bovenwoning,95 m²,4 kamers,€ 150.000 k.k.,k.k.
Statensingel 183 A-ii,"3039 LM,  Rotterdam",Appartement,135 m²,4 kamers,€ 500.000 k.k.,k.k.
Aelbrechtskade 189,"3023 JM,  Rotterdam",Appartement,110 m²,4 kamers,€ 299.000 k.k.,k.k.
Hermine Moquettestraat 28,"3066 JE,  Rotterdam",Eengezinswoning,112 m²,5 kamers,€ 286.000 k.k.,k.k.
Zweedsestraat 66 A 2,"3028 TW,  Rotterdam",Appartement,79 m²,3 kamers,€ 125.000 k.k.,k.k.
Jan van Loonslaan 24 C,"3031 PL,  Rotterdam",Appartement,64 m²,4 kamers,€ 225.000 k.k.,k.k.
Heenvlietstraat 54,"3081 SR,  Rotterdam",Eengezinswoning,59 m²,4 kamers,€ 175.000 k.k.,k.k.
Soderblomplaats 524,"3069 SP,  Rotterdam",Appartement,54 m²,2 kamers,€ 145.000 k.k.,k.k.
Ter Wormstraat 10,"3077 PN,  Rotterdam",Tussenwoning,85 m²,4 kamers,€ 169.000 k.k.,k.k.
Rijsoordstraat 20 B,"3081 BV,  Rotterdam",Bovenwoning,104 m²,5 kamers,€ 200.000 k.k.,k.k.
Stadhoudersweg 22 C,"3039 CC,  Rotterdam",Bovenwoning,70 m²,NA,€ 250.000 k.k.,k.k.
Grote Visserijstraat 4 B,"3026 CJ,  Rotterdam",Bovenwoning,55 m²,3 kamers,€ 185.000 k.k.,k.k.
Robijnstraat 34 B,"3051 VN,  Rotterdam",Bovenwoning,65 m²,3 kamers,€ 210.000 k.k.,k.k.
Gerrit Verrijstkade 10,"3059 SK,  Rotterdam",Vrijstaande woning,212 m²,7 kamers,€ 850.000 k.k.,k.k.
Spoorweghaven 212,"3071 ZG,  Rotterdam",Woning,151 m²,5 kamers,€ 483.500 v.o.n.,v.o.n.
Spoorweghaven 210,"3071 ZG,  Rotterdam",Tussenwoning,151 m²,5 kamers,€ 477.500 v.o.n.,v.o.n.
Spoorweghaven 208,"3071 ZG,  Rotterdam",Tussenwoning,151 m²,5 kamers,€ 477.500 v.o.n.,v.o.n.
Spoorweghaven 204,"3071 ZG,  Rotterdam",Tussenwoning,151 m²,5 kamers,€ 477.500 v.o.n.,v.o.n.
Brittenoord 3,"3079 KA,  Rotterdam",Appartement,64 m²,NA,€ 134.995 ,
Laan van Ypenhof 174,"3062 ZN,  Rotterdam",Penthouse,145 m²,4 kamers,€ 775.000 k.k.,k.k.
Louise de Colignylaan 324,"3062 HN,  Rotterdam",Appartement,104 m²,3 kamers,€ 360.000 k.k.,k.k.
Katendrechtse Lagedijk 61,"3081 ZK,  Rotterdam",Eengezinswoning,116 m²,5 kamers,€ 300.000 k.k.,k.k.
Lange Hilleweg 45 A,"3073 BH,  Rotterdam",Tussenwoning,130 m²,5 kamers,€ 299.000 k.k.,k.k.
Mijnsherenlaan 217 D,"3081 GR,  Rotterdam",Appartement,93 m²,3 kamers,€ 195.000 k.k.,k.k.
Schiedamseweg Beneden 537 C,"3028 BW,  Rotterdam",Appartement,52 m²,3 kamers,€ 100.000 k.k.,k.k.
Burgemeester F.h. van Kempensingel 2,"3055 BJ,  Rotterdam",Tussenwoning,108 m²,5 kamers,€ 485.000 k.k.,k.k.
Rochussenstraat 281 C-ii,"3023 DE,  Rotterdam",Bovenwoning,126 m²,5 kamers,€ 450.000 k.k.,k.k.
Karel Doormanstraat 299 B,"3012 GH,  Rotterdam",Bovenwoning,87 m²,NA,€ 350.000 k.k.,k.k.
Ringvaartweg 173,"3065 AC,  Rotterdam",Villa,517 m²,11 kamers,€ 4.500.000 k.k.,k.k.
Prinses Margrietlaan 20 B,"3051 AT,  Rotterdam",Dubbele bovenwoning,114 m²,4 kamers,Prijs op aanvraag ,
Lloydstraat 134,"3024 EA,  Rotterdam",Penthouse,258 m²,4 kamers,€ 1.350.000 k.k.,k.k.
Uitweg 60,"3051 JR,  Rotterdam",Appartement,70 m²,2 kamers,€ 175.000 k.k.,k.k.
Van Vollenhovenstraat 56 A 3,"3016 BK,  Rotterdam",Appartement,83 m²,3 kamers,€ 329.500 k.k.,k.k.
Van Vollenhovenstraat 56 A 4,"3016 BK,  Rotterdam",Penthouse,74 m²,2 kamers,€ 359.500 k.k.,k.k.
Scottstraat 25,"3076 GX,  Rotterdam",Tussenwoning,67 m²,4 kamers,€ 150.000 k.k.,k.k.
Violenstraat 23 B,"3051 TX,  Rotterdam",Woning,72 m²,NA,€ 200.000 ,
Nieuwe Kerkstraat 20 B,"3054 NJ,  Rotterdam",Appartement,76 m²,4 kamers,€ 339.000 k.k.,k.k.
Willemsplein 511,"3016 DR,  Rotterdam",Appartement,188 m²,4 kamers,€ 1.400.000 k.k.,k.k.
Groene Wetering 31,"3062 PB,  Rotterdam",Villa,451 m²,11 kamers,€ 2.500.000 k.k.,k.k.
Zestienhovensekade 369,"3043 KP,  Rotterdam",Benedenwoning,116 m²,5 kamers,€ 225.000 k.k.,k.k.
Kobelaan 64,"3067 MD,  Rotterdam",Bovenwoning,68 m²,3 kamers,€ 179.500 k.k.,k.k.
Cordell Hullplaats 69,"3068 VA,  Rotterdam",Appartement,86 m²,4 kamers,€ 189.000 k.k.,k.k.
Prins Frederik Hendrikstraat 22,"3051 ES,  Rotterdam",Eengezinswoning,196 m²,7 kamers,€ 565.000 k.k.,k.k.
Kruisplein 782,"3012 CC,  Rotterdam",Appartement,70 m²,2 kamers,€ 349.000 k.k.,k.k.
Herman Robbersstraat 54 112,"3031 RH,  Rotterdam",Appartement,60 m²,3 kamers,Prijs op aanvraag ,
1e Jerichostraat 34 A,"3061 GE,  Rotterdam",Woning,121 m²,6 kamers,€ 450.000 k.k.,k.k.
Breeplein 7,"3075 KC,  Rotterdam",Benedenwoning,125 m²,3 kamers,€ 250.000 k.k.,k.k.
Noorwitsstraat 94,"3067 KS,  Rotterdam",Appartement,66 m²,3 kamers,€ 150.000 k.k.,k.k.
Statenweg 45 F,"3039 HC,  Rotterdam",Appartement,58 m²,3 kamers,Prijs op aanvraag ,
Schoonegge 95,"3085 CT,  Rotterdam",Bovenwoning,61 m²,2 kamers,€ 142.500 k.k.,k.k.
Watertorenweg 407,"3063 HD,  Rotterdam",Bovenwoning,83 m²,3 kamers,€ 250.000 k.k.,k.k.
Boezemlaan 43 L,"3034 XD,  Rotterdam",Appartement,123 m²,4 kamers,Prijs op aanvraag ,
Soetendaalseweg 74 A,"3036 ET,  Rotterdam",Woning,103 m²,3 kamers,€ 350.000 k.k.,k.k.
Dr. J.j.p. Oudsingel 12,"3067 EG,  Rotterdam",Hoekwoning,120 m²,6 kamers,€ 309.000 k.k.,k.k.
W.g. Witteveenplein 83,"3071 MA,  Rotterdam",Benedenwoning,125 m²,5 kamers,€ 389.000 k.k.,k.k.
"Weegschaalhof 20-28 , Breda -franse Akker 1","3067 TS,  Rotterdam",NA,3070 m²,NA,€ 3.950.000 ,
Jonker Fransstraat 113 D,"3031 AR,  Rotterdam",Appartement,55 m²,3 kamers,€ 225.000 k.k.,k.k.
Aristotelesstraat 73,"3076 BC,  Rotterdam",Appartement,70 m²,3 kamers,€ 139.000 k.k.,k.k.
Statenweg 76 C,"3039 JH,  Rotterdam",Appartement,127 m²,4 kamers,€ 425.000 k.k.,k.k.
Bergweg 100 A,"3036 BE,  Rotterdam",Appartement,120 m²,4 kamers,Prijs op aanvraag ,
Krabbendijkestraat 383,"3086 LT,  Rotterdam",Appartement,70 m²,3 kamers,€ 135.000 k.k.,k.k.
Driemanssteeweg,"3084 CB,  Rotterdam",Garage,90 m²,NA,€ 114.950 ,
Kleiweg 196 B,"3051 SL,  Rotterdam",NA,127 m²,7 kamers,€ 389.000 k.k.,k.k.
Rietkerkweg 330,"3066 VK,  Rotterdam",Appartement,93 m²,3 kamers,€ 235.000 k.k.,k.k.
Bichon van Ijsselmondelaan 12,"3078 HB,  Rotterdam",Appartement,67 m²,2 kamers,€ 135.000 k.k.,k.k.
Evenaar 130,"3067 DA,  Rotterdam",Tussenwoning,96 m²,4 kamers,€ 189.500 k.k.,k.k.
Alerdincksingel 74,"3077 JB,  Rotterdam",Appartement,84 m²,4 kamers,€ 177.500 k.k.,k.k.
Gordelweg 234 A,"3039 GD,  Rotterdam",Benedenwoning,59 m²,3 kamers,€ 200.000 k.k.,k.k.
Vondelweg 1 A,"3031 PS,  Rotterdam",Appartement,57 m²,3 kamers,€ 225.000 k.k.,k.k.
G.w. Burgerplein 8 B,"3021 AV,  Rotterdam",Bovenwoning,154 m²,7 kamers,€ 425.000 k.k.,k.k.
Karel Doormanstraat 309 B,"3012 GH,  Rotterdam",Bovenwoning,85 m²,NA,€ 325.000 k.k.,k.k.
Mathenesserlaan 469 B,"3023 GK,  Rotterdam",NA,253 m²,7 kamers,€ 850.000 k.k.,k.k.
Kleiweg 176,"3051 SJ,  Rotterdam",Eengezinswoning,178 m²,4 kamers,€ 495.000 k.k.,k.k.
Snelfilterweg 213,"3063 JG,  Rotterdam",Appartement,77 m²,NA,Veiling ,
Boelstraat 20 C,"3081 TH,  Rotterdam",Appartement,83 m²,NA,Veiling ,
Van Dieststraat 24 A,"3082 TC,  Rotterdam",Appartement,55 m²,2 kamers,€ 125.000 k.k.,k.k.
Ok Formenoystraat 7,"3056 PB,  Rotterdam",Herenhuis,190 m²,6 kamers,Prijs op aanvraag ,
Zonnebloemstraat 26 B,"3051 SV,  Rotterdam",Appartement,68 m²,3 kamers,€ 229.500 k.k.,k.k.
Van der Duijn van Maasdamweg 528,"3045 PE,  Rotterdam",Appartement,89 m²,NA,€ 359.500 ,
Brittenoord 31,"3079 KA,  Rotterdam",Appartement,75 m²,3 kamers,€ 145.000 k.k.,k.k.
Verboomstraat 28,"3082 JN,  Rotterdam",Woning,131 m²,NA,Veiling ,
Sint-jobskade 734,"3024 EN,  Rotterdam",Woning,217 m²,6 kamers,€ 698.000 k.k.,k.k.
Van Blommesteynweg 16 A,"3082 WE,  Rotterdam",Bovenwoning,90 m²,5 kamers,€ 195.000 k.k.,k.k.
Dordtselaan 173 A,"3081 BN,  Rotterdam",Benedenwoning,66 m²,2 kamers,€ 149.500 k.k.,k.k.
Schieweg 42 B,"3039 BC,  Rotterdam",Appartement,104 m²,5 kamers,€ 315.000 k.k.,k.k.
Vlinderstraat 11 -a,"3061 VJ,  Rotterdam",Appartement,88 m²,3 kamers,Prijs op aanvraag ,
Sweelincklaan 6,"3055 WT,  Rotterdam",Villa,315 m²,4 kamers,€ 1.975.000 ,
Platostraat 198,"3076 BR,  Rotterdam",Appartement,60 m²,3 kamers,€ 125.000 k.k.,k.k.
Jupiterstraat 248,"3054 WH,  Rotterdam",Appartement,108 m²,3 kamers,€ 400.000 k.k.,k.k.
Mauritsweg 44,"3012 JV,  Rotterdam",Tussenwoning,476 m²,12 kamers,€ 1.450.000 k.k.,k.k.
Keyenburg 48 E,"3085 KA,  Rotterdam",NA,109 m²,4 kamers,€ 259.000 k.k.,k.k.
Noorderhavenkade 58 A,"3038 XL,  Rotterdam",Appartement,72 m²,3 kamers,€ 250.000 k.k.,k.k.
Maltaplein 34,"3059 XW,  Rotterdam",Appartement,104 m²,4 kamers,€ 285.000 k.k.,k.k.
Goedaerthof 27, Rotterdam,NA,150 m²,4 kamers,Prijs op aanvraag ,
Prinses Margrietlaan 24 B,"3051 AV,  Rotterdam",NA,104 m²,4 kamers,€ 450.000 k.k.,k.k.
Nansenplaats 309,"3069 CV,  Rotterdam",Appartement,55 m²,2 kamers,€ 139.500 k.k.,k.k.
Kritostraat 72,"3076 BH,  Rotterdam",Appartement,68 m²,3 kamers,€ 135.000 k.k.,k.k.
Weena 231,"3013 AL,  Rotterdam",Appartement,110 m²,3 kamers,€ 549.000 k.k.,k.k.
Touwbaan 19,"3035 WZ,  Rotterdam",Appartement,76 m²,3 kamers,€ 225.000 k.k.,k.k.
Bergselaan 388 D,"3038 CV,  Rotterdam",Appartement,103 m²,4 kamers,€ 299.500 k.k.,k.k.
Pegasusweg 162,"3067 KX,  Rotterdam",Appartement,101 m²,3 kamers,Prijs op aanvraag ,
Botersloot 351,"3011 HE,  Rotterdam",Appartement,76 m²,2 kamers,€ 330.000 k.k.,k.k.
Nansenplaats 235,"3069 CR,  Rotterdam",Appartement,80 m²,3 kamers,€ 172.500 k.k.,k.k.
Mathenesserlaan 301 C,"3021 HK,  Rotterdam",NA,207 m²,3 kamers,€ 750.000 k.k.,k.k.
Kraaiheide 47,"3069 LC,  Rotterdam",Benedenwoning,142 m²,4 kamers,€ 337.500 k.k.,k.k.
Spoorweghavenplein 24,"3071 ZL,  Rotterdam",Tussenwoning,151 m²,5 kamers,€ 478.500 v.o.n.,v.o.n.
Spoorweghavenplein 22,"3071 ZL,  Rotterdam",Tussenwoning,151 m²,5 kamers,€ 465.500 v.o.n.,v.o.n.
Spoorweghavenplein 21,"3071 ZL,  Rotterdam",Tussenwoning,151 m²,5 kamers,€ 463.000 v.o.n.,v.o.n.
Spoorweghavenplein 20,"3071 ZL,  Rotterdam",Woning,151 m²,5 kamers,€ 466.500 v.o.n.,v.o.n.
Meerum Terwogtlaan 193,"3056 PP,  Rotterdam",Eengezinswoning,145 m²,4 kamers,Prijs op aanvraag ,
Strevelsweg 859,"3083 LT,  Rotterdam",Appartement,95 m²,4 kamers,€ 279.500 ,
Tapuitstraat 54 B,"3083 WS,  Rotterdam",Appartement,55 m²,4 kamers,€ 100.000 k.k.,k.k.
Bergse Linker Rottekade 156,"3056 LE,  Rotterdam",NA,88 m²,3 kamers,€ 595.000 k.k.,k.k.
Schuilingsoord 161,"3079 NE,  Rotterdam",Appartement,85 m²,4 kamers,€ 159.500 k.k.,k.k.
Het Verborgen Geheim Fase 4 137, Rotterdam,Woning,121 m²,5 kamers,€ 267.000 v.o.n.,v.o.n.
Eden District 9, Rotterdam,Appartement,161 m²,5 kamers,€ 751.000 v.o.n.,v.o.n.
Hoyledesingel 22,"3054 EK,  Rotterdam",Hoekwoning,200 m²,7 kamers,€ 1.098.000 k.k.,k.k.
Voorburgstraat 134 B,"3037 PR,  Rotterdam",Benedenwoning,125 m²,NA,€ 375.000 k.k.,k.k.
Schiebroekselaan 8 B,"3037 RM,  Rotterdam",Dubbele bovenwoning,131 m²,4 kamers,Prijs op aanvraag ,
Oostzeedijk 298 F,"3063 CB,  Rotterdam",Appartement,79 m²,NA,€ 325.000 k.k.,k.k.
Mathenesserlaan 360 A,"3023 HA,  Rotterdam",Bovenwoning,183 m²,NA,€ 579.000 k.k.,k.k.
Annie van Eesstraat 21,"3066 JC,  Rotterdam",NA,120 m²,3 kamers,€ 395.000 k.k.,k.k.
De Zalmhaven Nieuw 4, Rotterdam,Woning,123 m²,6 kamers,€ 505.000 v.o.n.,v.o.n.
Jan van der Ploegsingel 8,"3065 PC,  Rotterdam",Woning,179 m²,5 kamers,€ 598.000 k.k.,k.k.
De Quackstraat 56 A,"3082 VV,  Rotterdam",Benedenwoning,58 m²,3 kamers,€ 169.500 k.k.,k.k.
Othon Frieszpad 10,"3059 VG,  Rotterdam",Tussenwoning,130 m²,5 kamers,€ 325.000 k.k.,k.k.
's-gravenweg 459,"3065 SC,  Rotterdam",NA,220 m²,3 kamers,€ 865.000 k.k.,k.k.
Voermanweg 510,"3067 JW,  Rotterdam",Appartement,55 m²,NA,€ 137.500 k.k.,k.k.
Huub van den Brulestraat 12,"3065 PG,  Rotterdam",Tussenwoning,130 m²,5 kamers,€ 350.000 k.k.,k.k.
Schipperlei 123,"3028   ,  Rotterdam",Bovenwoning,150 m²,0 kamers,€ 250.000 ,
Kralingseweg 3 F,"3062 HB,  Rotterdam",Woning,103 m²,3 kamers,€ 360.000 k.k.,k.k.
Fleringenstraat 93,"3077 HE,  Rotterdam",Appartement,77 m²,3 kamers,€ 137.500 ,
Schepenstraat 3 B,"3039 NA,  Rotterdam",Appartement,65 m²,3 kamers,€ 259.000 k.k.,k.k.
Oostzeedijk 14 A,"3063 BB,  Rotterdam",Appartement,181 m²,6 kamers,€ 600.000 k.k.,k.k.
Wijnhaven 65 A 35,"3011 WJ,  Rotterdam",Penthouse,342 m²,6 kamers,€ 3.100.000 v.o.n.,v.o.n.
Bergse Linker Rottekade 155,"3056 LD,  Rotterdam",NA,92 m²,3 kamers,€ 570.000 k.k.,k.k.
Wijnhaven 73 L,"3011 WJ,  Rotterdam",Appartement,85 m²,3 kamers,€ 475.000 k.k.,k.k.
C P Tielestraat 43 B,"3023 TC,  Rotterdam",Bovenwoning,118 m²,4 kamers,€ 337.500 k.k.,k.k.
Willem Buytewechstraat 141 Abc,"3024 XD,  Rotterdam",Dubbele bovenwoning,272 m²,6 kamers,€ 545.000 ,
Annastraat 2 A,"3062 KA,  Rotterdam",Herenhuis,300 m²,6 kamers,€ 1.950.000 ,
Chris Bennekerslaan 27 N, Rotterdam,Appartement,110 m²,3 kamers,€ 499.000 k.k.,k.k.
Argonautenweg 25 J,"3054 RP,  Rotterdam",NA,75 m²,3 kamers,€ 325.000 k.k.,k.k.
's-gravenweg 746,"3065 SJ,  Rotterdam",Vrijstaande woning,220 m²,6 kamers,€ 925.000 k.k.,k.k.
Sint-janshaven 29,"3087 EA,  Rotterdam",Appartement,77 m²,3 kamers,€ 179.000 k.k.,k.k.
Buizenwerf 139 265 000 K K,"3063 AC,  Rotterdam",Appartement,98 m²,3 kamers,Prijs op aanvraag ,
Oostmaaslaan 730,"3063 DK,  Rotterdam",Appartement,213 m²,4 kamers,€ 745.000 k.k.,k.k.
Sint-agathastraat 3 B,"3037 SB,  Rotterdam",Appartement,104 m²,3 kamers,€ 275.000 k.k.,k.k.
Marie van Eijsden-vinkstraat 65,"3066 JB,  Rotterdam",Appartement,115 m²,3 kamers,€ 355.000 k.k.,k.k.
Goereesestraat 43 C,"3083 DC,  Rotterdam",Appartement,55 m²,3 kamers,Prijs op aanvraag ,
Vroesenlaan 44 Aii,"3039 DX,  Rotterdam",Appartement,78 m²,3 kamers,Prijs op aanvraag ,
Plantageweg 34,"3061 PK,  Rotterdam",NA,135 m²,3 kamers,€ 675.000 k.k.,k.k.
West-varkenoordseweg 231 C,"3074 HV,  Rotterdam",Appartement,92 m²,3 kamers,€ 189.500 ,
Voorburgstraat 138 Ba 2 A 3,"3037 PR,  Rotterdam",Benedenwoning,293 m²,8 kamers,€ 835.000 ,
Noordeinde 19,"3061 EM,  Rotterdam",NA,130 m²,3 kamers,€ 595.000 k.k.,k.k.
Schiedamseweg 7 B,"3026 AA,  Rotterdam",Appartement,132 m²,3 kamers,€ 299.000 k.k.,k.k.
Lambertusstraat 76-01,"3062 WK,  Rotterdam",Dubbele bovenwoning,70 m²,5 kamers,€ 300.000 k.k.,k.k.
Bredenoord 59,"3079 JB,  Rotterdam",Appartement,70 m²,4 kamers,€ 145.000 k.k.,k.k.
Baarschootsekreek 2 L,"3079 SJ,  Rotterdam",Appartement,90 m²,3 kamers,€ 229.500 k.k.,k.k.
Kadoelermeer 24,"3068 KE,  Rotterdam",Tussenwoning,121 m²,5 kamers,€ 247.500 k.k.,k.k.
Agata de Bruynkade 17,"3059 SE,  Rotterdam",Villa,225 m²,4 kamers,€ 869.000 k.k.,k.k.
Zaagmolenkade 19,"3035 KA,  Rotterdam",Bovenwoning,113 m²,NA,€ 350.000 k.k.,k.k.
Joostingstraat 6,"3071 TS,  Rotterdam",Eengezinswoning,110 m²,3 kamers,€ 235.000 k.k.,k.k.
Adriaan Kooningsstraat 55,"3077 ML,  Rotterdam",Appartement,94 m²,3 kamers,€ 275.000 k.k.,k.k.
Katendrechtse Lagedijk 229 B,"3083 GC,  Rotterdam",Appartement,61 m²,3 kamers,€ 128.500 k.k.,k.k.
Mecklenburglaan 9,"3061 BB,  Rotterdam",NA,287 m²,3 kamers,€ 1.398.000 k.k.,k.k.
Kretalaan 33,"3059 XL,  Rotterdam",Tussenwoning,144 m²,5 kamers,€ 435.000 k.k.,k.k.
Straatweg 176 B,"3054 AJ,  Rotterdam",Appartement,150 m²,5 kamers,Prijs op aanvraag ,
Achterdijk 6,"3045 NX,  Rotterdam",Woning,100 m²,4 kamers,€ 500.000 k.k.,k.k.
Pleinweg,"3083 EJ,  Rotterdam",Appartement,58 m²,2 kamers,€ 110.000 k.k.,k.k.
Willebrordusplein 7 A,"3037 TC,  Rotterdam",Woning,56 m²,2 kamers,€ 190.000 k.k.,k.k.
West-varkenoordseweg 207 A,"3074 HT,  Rotterdam",Benedenwoning,95 m²,4 kamers,€ 225.000 k.k.,k.k.
Coolhaven 447,"3023 BA,  Rotterdam",Appartement,116 m²,3 kamers,€ 389.000 k.k.,k.k.
Onderlangs 42,"3062 CK,  Rotterdam",Vrijstaande woning,277 m²,5 kamers,€ 1.375.000 k.k.,k.k.
Feijenoordkade 22,"3071 HM,  Rotterdam",Woning,128 m²,4 kamers,€ 400.000 k.k.,k.k.
Coleman Hawkinspad 6,"3069 PV,  Rotterdam",Tussenwoning,99 m²,5 kamers,€ 250.000 k.k.,k.k.
Bentincklaan 65 D,"3039 KK,  Rotterdam",Bovenwoning,131 m²,4 kamers,€ 399.000 k.k.,k.k.
Everaertstraat 333,"3067 VK,  Rotterdam",NA,92 m²,3 kamers,€ 187.500 k.k.,k.k.
Woningen, Rotterdam,Villa,108 m²,6 kamers,€ 480.000 v.o.n.,v.o.n.
Bermweg 14,"3059 LA,  Rotterdam",Tussenwoning,85 m²,5 kamers,€ 225.000 k.k.,k.k.
Delfgaauwstraat 53 B,"3037 LJ,  Rotterdam",Appartement,90 m²,2 kamers,€ 259.000 k.k.,k.k.
Koningswaard 209,"3078 AA,  Rotterdam",Appartement,96 m²,3 kamers,€ 270.000 k.k.,k.k.
Adriaen van der Doeslaan 297,"3054 EC,  Rotterdam",Serviceflat,63 m²,2 kamers,Prijs op aanvraag ,
Scheepmakerskade 65,"3011 VX,  Rotterdam",Appartement,79 m²,3 kamers,€ 330.000 k.k.,k.k.
Abbenbroekweg 82,"3086 GC,  Rotterdam",Eengezinswoning,129 m²,5 kamers,€ 275.000 k.k.,k.k.
Willem Hioolenstraat 42,"3065 LE,  Rotterdam",Woning,158 m²,5 kamers,€ 498.000 k.k.,k.k.
Mathenesserweg 151 B,"3027 HP,  Rotterdam",Bovenwoning,70 m²,3 kamers,€ 115.000 k.k.,k.k.
Abenrahof 1,"3067 DN,  Rotterdam",Hoekwoning,80 m²,4 kamers,€ 215.000 k.k.,k.k.
Berberisweg 214,"3053 PJ,  Rotterdam",Appartement,120 m²,3 kamers,€ 399.999 k.k.,k.k.
Oaseplein 12,"3025 NM,  Rotterdam",Hoekwoning,107 m²,4 kamers,€ 339.000 k.k.,k.k.
Taxusstraat 11 B,"3061 HT,  Rotterdam",Appartement,90 m²,3 kamers,€ 298.000 k.k.,k.k.
Loofdakstraat 29,"3036 JN,  Rotterdam",Tussenwoning,125 m²,6 kamers,€ 450.000 k.k.,k.k.
Rochussenstraat 177 A,"3021 NP,  Rotterdam",NA,136 m²,3 kamers,€ 498.000 k.k.,k.k.
Bergse Dorpsstraat 79,"3054 GB,  Rotterdam",Appartement,110 m²,5 kamers,€ 339.000 k.k.,k.k.
Slotboomstraat 20 B 03,"3082 GR,  Rotterdam",Appartement,70 m²,2 kamers,€ 139.000 k.k.,k.k.
Abraham Tuschinskistraat 80, Rotterdam,Villa,254 m²,7 kamers,€ 1.750.000 v.o.n.,v.o.n.
Nc 2018 Huis van Inspiratie 06, Rotterdam,Woning,250 m²,5 kamers,€ 896.300 v.o.n.,v.o.n.
Katendrechtse Lagendijk 298 A,"3083 GL,  Rotterdam",Appartement,59 m²,2 kamers,€ 120.000 k.k.,k.k.
Kornelis van Tollaan 30 C,"3065 DB,  Rotterdam",Woning,154 m²,7 kamers,€ 685.000 v.o.n.,v.o.n.
Kornelis van Tollaan 30 B,"3065 DB,  Rotterdam",Woning,154 m²,7 kamers,€ 685.000 v.o.n.,v.o.n.
Boompjes 575,"3011 XZ,  Rotterdam",Appartement,57 m²,2 kamers,€ 249.000 k.k.,k.k.
Boy Edgarstraat 195,"3069 ZA,  Rotterdam",Tussenwoning,153 m²,6 kamers,€ 325.000 k.k.,k.k.
Molenlaan 69,"3055 EH,  Rotterdam",Hoekwoning,185 m²,7 kamers,€ 845.000 k.k.,k.k.
Little C 97, Rotterdam,Appartement,174 m²,4 kamers,€ 875.000 v.o.n.,v.o.n.
Gordelweg 229 D,"3039 GC,  Rotterdam",Woning,93 m²,4 kamers,€ 279.000 k.k.,k.k.
Insulindestraat 59ai,"3038 JD,  Rotterdam",Appartement,76 m²,NA,€ 190.000 ,
De Savornin Lohmanlaan 68 A-ii,"3038 NM,  Rotterdam",Bovenwoning,113 m²,NA,€ 350.000 k.k.,k.k.
Pompenburg 358,"3032 EM,  Rotterdam",Appartement,80 m²,4 kamers,Prijs op aanvraag ,
Kapershoek 67,"3085 ED,  Rotterdam",Appartement,59 m²,3 kamers,€ 122.500 k.k.,k.k.
Straatweg 215,"3054 AE,  Rotterdam",Woning,207 m²,7 kamers,€ 965.000 k.k.,k.k.
's-gravenweg 791,"3065 SC,  Rotterdam",Vrijstaande woning,145 m²,5 kamers,€ 799.000 k.k.,k.k.
Hendrik Sweijsstraat 24,"3065 NJ,  Rotterdam",Woning,155 m²,6 kamers,€ 535.000 k.k.,k.k.
's-gravenweg 790,"3065 SK,  Rotterdam",Vrijstaande woning,137 m²,6 kamers,€ 850.000 k.k.,k.k.
Insulindestraat 210,"3037 BK,  Rotterdam",Bovenwoning,83 m²,2 kamers,€ 295.000 k.k.,k.k.
Hopklaver 17,"3069 DB,  Rotterdam",Eengezinswoning,150 m²,5 kamers,€ 385.000 k.k.,k.k.
Verboomstraat 104 A,"3082 JR,  Rotterdam",Appartement,105 m²,NA,€ 205.000 k.k.,k.k.
Provenierssingel 52,"3033 EM,  Rotterdam",Herenhuis,176 m²,9 kamers,€ 850.000 k.k.,k.k.
Hermine Moquettestraat 18,"3066 JE,  Rotterdam",Tussenwoning,112 m²,6 kamers,€ 299.000 k.k.,k.k.
Goereesestraat 58,"3083 DK,  Rotterdam",Appartement,89 m²,5 kamers,€ 159.000 ,
